card,wins
A♣ K♠,36
A♣ A♥,46
A♣ A♦,48
A♣ A♠,51
A♠ 2♥,9
A♠ 2♦,9
A♠ 2♣,11
A♠ 2♠,10
A♠ 3♥,17
A♠ 3♦,14
A♠ 3♣,14
A♠ 3♠,15
A♠ 4♥,7
A♠ 4♦,10
A♠ 4♣,16
A♠ 4♠,15
A♠ 5♥,14
A♠ 5♦,16
A♠ 5♣,14
A♠ 5♠,18
A♠ 6♥,18
A♠ 6♦,20
A♠ 6♣,16
A♠ 6♠,20
A♠ 7♥,17
A♠ 7♦,22
A♠ 7♣,14
A♠ 7♠,20
A♠ 8♥,23
A♠ 8♦,21
A♠ 8♣,21
A♠ 8♠,30
A♠ 9♥,26
A♠ 9♦,30
A♠ 9♣,26
A♠ 9♠,26
A♠ T♥,24
A♠ T♦,28
A♠ T♣,29
A♠ T♠,21
A♠ J♥,24
A♠ J♦,37
A♠ J♣,19
A♠ J♠,28
A♠ Q♥,30
A♠ Q♦,28
A♠ Q♣,28
A♠ Q♠,34
A♠ K♥,35
A♠ K♦,24
A♠ K♣,31
A♠ K♠,36
A♠ A♥,42
A♠ A♦,50
A♠ A♣,42
